Company,Info,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,
Mphasis,"Mphasis offers a range of services, including application development, infrastructure services, business process outsourcing, and consulting. They work with clients in the financial services, telecom, logistics, and technology industries. Mphasis is headquartered in Bengaluru, India. They also operate in the US, the UK, Germany, Belgium, and France.  Mphasis was incorporated on August 10, 1992. In 2016, Hewlett Packard Enterprise sold the majority of its stake in Mphasis to Blackstone Group LP. ",Aptitude and logical reasoning assessment: This round may be a HackerRank test that includes questions on English and logical thinking,"Group discussion: In this round, a random topic is given for discussion","Technical round: This round may include questions on basics like method overloading, string concepts, file handling, and basics of HTML and CSS.","One-on-one round: This round may include questions on client handling related queries, handling priority tasks, and handling a team.",,,Voice Versant Test: This test may judge your English speaking skills
Hexaware,"Hexaware Technologies is a global IT and business process outsourcing (BPO) services company founded in 1990 by Atul K. Mehta. Headquartered in Navi Mumbai, India, Hexaware specializes in providing IT solutions across various industries, including banking, financial services, healthcare, and retail. The company offers services such as cloud computing, digital transformation, application development, testing, and business process outsourcing. Hexaware is known for its expertise in automation, artificial intelligence, and machine learning, helping organizations improve operational efficiency and enhance customer experience. The company has a strong global presence, with offices in over 20 countries.","Written test: This test assesses the applicant's aptitude, communication, and logical skills. The test may include questions from computer science, English, logic, and aptitude.","Technical interview: This interview tests the applicant's theoretical knowledge. The interview may include questions about DBMS, OOPS, programming languages, operating systems, and computer networking.",HR interview: This interview assesses the applicant's mental performance and ability to handle critical situations. The interview may include basic HR-related questions.,,,,
TCS,"Tata Consultancy Services (TCS) is a global IT services and consulting company founded in 1968 by Faquir Chand Kohli as part of the Tata Group, with its headquarters located in Mumbai, India. TCS offers a wide range of services including IT consulting, software development, business solutions, and outsourcing to industries such as banking, finance, healthcare, retail, and telecommunications. As one of the largest IT services companies in the world, TCS is known for its expertise in digital transformation, cloud services, AI, and machine learning. TCS has a strong global presence, serving clients in over 46 countries and employing hundreds of thousands of professionals. The company's commitment to innovation and quality has made it a leader in the IT sector.",Aptitude test: A 90-minute test that includes sections on quantitative aptitude and programming language efficiency,"Technical interview: A face-to-face round that assesses your knowledge of data structures, algorithms, database management systems, operating systems, networking, and object-oriented programming. You might be asked to write code on paper.","Managerial interview: This round tests your problem-solving approach, teamwork, and ability to handle real-world scenarios. You might be asked general technical and HR questions, or your interviewer might try to gauge your reactions.","HR interview: This round asks questions about your work experience, education, hobbies, and family background. You might also be asked about your strengths and weaknesses, reasons for applying to the company, and why you should be hired.",,,
Cognizant,"Cognizant Technology Solutions is a multinational IT services and consulting company founded in 1994 by Kumar Mahadeva and Francisco D'Souza, with its headquarters located in Teaneck, New Jersey, USA. Initially started as a division of Dun & Bradstreet, Cognizant became an independent company focused on providing IT services, consulting, and outsourcing solutions to various industries, including healthcare, finance, retail, and manufacturing. The company offers services in areas such as digital transformation, cloud computing, AI, data analytics, and automation. Cognizant is known for its commitment to innovation and delivering high-quality solutions, and it has established a strong global presence, employing hundreds of thousands of professionals worldwide.","Communication assessment: This round may include reading and grammar, and comprehension and listening sections.",Aptitude and technical assessment: This round may include an online coding test and a technical round.,"Technical interview: This round may be in-person and may include technical questions about data structures, algorithms, and core subjects.",HR round: This round may include conventional HR questions.,,,
IBM,"IBM (International Business Machines Corporation) is a multinational technology company founded in 1911 by Charles Ranlett Flint as the Computing-Tabulating-Recording Company (CTR) and later renamed to IBM in 1924. Headquartered in Armonk, New York, IBM is one of the oldest and largest technology companies globally. The company is known for its innovations in hardware, software, and consulting services. It has been a leader in areas such as mainframe computing, artificial intelligence (AI), cloud computing, quantum computing, and blockchain technology. IBM is particularly recognized for its development of Watson, an AI platform, and its contributions to enterprise-level technology solutions. Over the years, IBM has transformed into a hybrid cloud and AI-focused business, with a strong presence in various industries, including finance, healthcare, and government.","Online assessment:  A written aptitude test with questions on topics like number series, quant, English language, and grammar A cognitive ability test An English assessment test that's a text-based multiple-choice assessment","Technical interview rounds: This interview tests the applicant's theoretical knowledge. The interview may include questions about DBMS, OOPS, programming languages, operating systems, and computer networking.",HR interview: This interview assesses the applicant's mental performance and ability to handle critical situations. The interview may include basic HR-related questions.,,,,
Capgemini,"Capgemini is a global leader in consulting, technology services, and digital transformation, founded in 1967 by Serge Kampf in Paris, France. The company offers a broad range of services, including IT consulting, cloud solutions, data analytics, artificial intelligence, and cybersecurity, serving industries like financial services, manufacturing, retail, and telecommunications. Capgemini helps businesses navigate their digital transformation by providing innovative and technology-driven solutions that improve efficiency, agility, and customer experience. The company has a strong global presence, with operations in over 50 countries, employing hundreds of thousands of professionals. Capgemini is known for its commitment to sustainable development and is a major player in the IT and consulting sectors.",Online assessment: A written exam that may be required for freshers,Coding assessment: A test that evaluates a candidate's technical knowledge,Online communication test: A test that evaluates a candidate's communication abilities,Behavioral interviews: An interview that evaluates a candidate's behavioral skills,Technical interviews: An interview that evaluates a candidate's technical skills,HR interview: An interview with HR that may involve salary negotiations,
Wipro,"Wipro Limited is a global information technology, consulting, and business process services company, founded in 1945 by M.H. Hasham Premji in Mumbai, India. Originally established as a vegetable oil manufacturer, Wipro diversified into the IT industry in the 1980s under the leadership of Azim Premji, transforming into one of India's largest IT services companies. Wipro offers a wide range of services, including IT consulting, cloud solutions, digital transformation, data analytics, and cybersecurity, serving industries such as banking, healthcare, retail, and manufacturing. With a strong global presence, Wipro operates in over 50 countries and is known for its innovation, commitment to sustainability, and focus on leveraging cutting-edge technologies like artificial intelligence and automation to deliver value to its clients.","Online assessment: The first step in the process, this round includes an aptitude test, coding, and essay writing: Aptitude test: Includes sections on quantitative skills, logical reasoning, and communication ability Coding: For technical candidates, this round typically includes 2-3 easy coding questions Essay writing: Candidates may be asked to write an essay on any topic or event","Technical interview: Candidates who pass the online assessment are invited to this round, which can be face-to-face or via video call. Interviewers ask questions related to the candidate's job profile.",HR interview: This round assesses whether the candidate is a good fit for the organization.,,,,
HCL,"HCL Technologies is a multinational IT services and consulting company founded in 1976 by Shiv Nadar in Noida, India. Initially, HCL started as a hardware company but later shifted its focus to software services and IT solutions, becoming one of India's leading technology firms. The company offers a wide range of services, including IT consulting, enterprise solutions, cloud computing, cybersecurity, and digital transformation. HCL serves industries such as aerospace, automotive, banking, financial services, and healthcare. With a global presence in over 40 countries, HCL is recognized for its innovation in technologies like artificial intelligence, automation, and blockchain. The company's commitment to delivering cutting-edge solutions has established it as a key player in the global IT services market.","Aptitude assessment: This round includes questions about logical reasoning, mathematics, verbal skills, and technical grasp. The HCL CAT is an aptitude test that evaluates a candidate's analytical, quantitative, logical, verbal, and technical skills.",Group discussion: This round assesses a candidate's presence of mind and confidence level. Topics are usually on general or social topics of national importance.,Technical interview: This round assesses a candidate's technical skills.,HR round: This round is an interview with the human resources department.,,,
Infosys,"Infosys is a multinational technology company founded in 1981 by N. R. Narayana Murthy and six other engineers in Pune, India. Headquartered in Bengaluru, India, Infosys is a global leader in IT consulting, software development, and business process outsourcing. The company provides a wide range of services, including cloud computing, artificial intelligence, machine learning, digital transformation, and cybersecurity, across industries such as finance, healthcare, manufacturing, and retail. Infosys is known for its strong focus on innovation, client-centric solutions, and its commitment to sustainability. It has a significant global presence, with operations in over 50 countries, and is recognized as one of India's largest IT services companies.","Online aptitude test: The first round, which candidates must pass to be eligible for the next rounds","Technical interview: Focuses on core skills, such as: Algorithms and data structures At least one programming language OOPS, DBMS, CN, and OS Coding and problem-solving Puzzles and aptitude-based questions Emerging technologies","Managerial round: Assesses leadership, problem-solving abilities, and cultural fit","HR interview: The final step, which assesses overall personality and suitability for the role",,,
ZOHO,"Zoho Corporation is a multinational software company founded in 1996 by Sridhar Vembu and Tony Thomas, with its headquarters located in Chennai, India. Initially starting as a provider of IT solutions and cloud-based software, Zoho has grown to become a leading developer of software products for businesses, including tools for customer relationship management (CRM), project management, finance, HR, and collaboration. Zoho's suite of over 45 integrated applications is widely used by businesses of all sizes to streamline their operations and improve productivity. The company is known for its strong emphasis on innovation, data privacy, and user-centric solutions. Zoho has a global presence with offices in various countries, and it is recognized for offering affordable and scalable software solutions, especially for small and medium-sized enterprises (SMEs).",Written test: A 90-minute test with multiple choice questions (MCQs) on general aptitude and programming aptitude. Freshers are required to take an aptitude test.,Basic programming: A one-on-one test where candidates are given questions in chat. Candidates should have a good understanding of data structures and algorithms.,Advanced programming: A round with one or two questions that test critical thinking skills. Candidates should know data structures and algorithms.,Design round: An optional round for freshers where candidates are asked to design a system.,"Technical HR: A round with technical questions based on data structures, Java, and logical apps. The number of technical HR rounds may vary depending on the candidate's performance in the previous HR rounds.","General HR: A round with HR questions about the candidate's background, skills, and hobbies.",
